wondernetwork_city_name,geoname_id
Accra,2306104
Adelaide,2078025
Albany,5106834
Alblasserdam,2759915
Albuquerque,5454711
Algiers,2507480
Amsterdam,2759794
Ankara,323786
Antwerp,2803138
Arezzo,3182884
Asheville,4453066
Athens,264371
Atlanta,4180439
Auckland,2193733
Austin,4671654
Baku,587084
Baltimore,4347778
Bangalore,1277333
Bangkok,1609350
Barcelona,3128760
Basel,2661604
Beirut,276781
Belfast,2655984
Belgrade,792680
Bergen,3161732
Berkeley Springs,4798697
Bern,2661552
Bogota,3688689
Boston,4930956
Brasilia,3469058
Bratislava,3060972
Brisbane,2174003
Bristol,2654675
Brno,3078610
Bruges,2800931
Brunswick,5148480
Brussels,2800866
Bucharest,683506
Budapest,3054643
Buenos Aires,3435910
Buffalo,5110629
Bursa,750269
Cairo,360630
Canberra,2172517
Cape Town,3369157
Caracas,3646738
Cardiff,2653822
Carlow,2965768
Charlotte,4460243
Cheltenham,2653261
Chennai,1264527
Chicago,4887398
Chisinau,618426
Christchurch,2192362
Cincinnati,4508722
Cleveland,5150529
Colorado Springs,5417598
Columbus,4509177
Copenhagen,2618425
Coventry,2652221
Cromwell,4832121
Dagupan,1716198
Dallas,4684888
Dar es Salaam,160263
Denver,5419384
Des Moines,4853828
Detroit,4990729
Dhaka,1185241
Douglas,3042237
Dronten,2756559
Dubai,292223
Dublin,2964574
Dusseldorf,2934246
Edinburgh,2650225
Edmonton,5946768
Eindhoven,2756253
Falkenstein,8378906
Fez,2548885
Frankfurt,2925533
Fremont,5350734
Frosinone,3176515
Gdansk,3099434
Geneva,4893591
Gosport,2648272
Gothenburg,2711537
Graz,2778067
Green Bay,5254962
Groningen,2755251
Guadalajara,4005539
Guatemala,3598132
Halifax,6324729
Hamburg,2911298
Hangzhou,1808926
Hanoi,1581130
Helsinki,658225
Heredia,3623486
Ho Chi Minh City,1566083
Hong Kong,1819729
Honolulu,5856195
Houston,4699066
Hyderabad,1269843
Indianapolis,4259418
Indore,1269743
Istanbul,745044
Izmir,311046
Jackson,4431410
Jacksonville,4160021
Jakarta,1642911
Jerusalem,281184
Joao Pessoa,3397277
Johannesburg,993800
Kampala,232422
Kansas City,4393217
Karaganda,609655
Kazan,551487
Kharkiv,706483
Kiev,703448
Knoxville,4634946
Ktis,3072577
Lagos,2332459
Lahore,1172451
Lansing,4998830
Las Vegas,5506956
Lausanne,2659994
Liege,2792413
Lima,3936456
Limassol,146384
Lincoln,5072006
Lisbon,2267057
Ljubljana,3196359
London,2643743
Los Angeles,5368361
Lugano,2659836
Luxembourg,2960316
Lyon,2996944
Madrid,3117735
Maidstone,2643179
Manchester,2643123
Manhattan,5125771
Manila,1701668
Medellin,3674962
Melbourne,2158177
Memphis,4641239
Mexico,1699805
Miami,4164138
Milan,3173435
Minneapolis,5037649
Montevideo,3441575
Montreal,6077243
Moscow,524901
Mumbai,1275339
Munich,2867714
Nairobi,184745
New Delhi,1261481
New Orleans,4335045
New York,5128581
Newcastle,2641673
Nis,787657
Novosibirsk,1496747
Nuremberg,2861650
Oklahoma City,4544349
Orlando,4167147
Osaka,1853909
Oslo,3143244
Ottawa,6094817
Palermo,2523920
Panama,3703443
Paramaribo,3383330
Paris,2988507
Perth,2063523
Philadelphia,4560349
Phnom Penh,1821306
Phoenix,5308655
Piscataway,5102713
Pittsburgh,5206379
Portland,5746545
Prague,3067696
Pristina,786714
Pune,1259229
Quebec City,6325494
Quito,3652462
Raleigh,4487042
Redding,5570160
Reykjavik,3413829
Riga,456172
Riyadh,108410
Rome,3169070
Roseburg,5749352
Rotterdam,2747891
Roubaix,2982681
Sacramento,5389489
Salem,1257629
Salt Lake City,5780993
San Antonio,4726206
San Diego,5391811
San Francisco,5391959
San Jose,5392171
San Juan,4568127
Santiago,3871336
Sao Paulo,3448439
Sapporo,2128295
Saskatoon,6141256
Savannah,4221552
Scranton,5211303
Seattle,5809844
Secaucus,5104504
Seoul,1835848
Shanghai,1796236
Shenzhen,1795565
Siauliai,594739
Singapore,1880252
Sofia,727011
South Bend,4926563
St Louis,4407066
St Petersburg,498817
Stockholm,2673730
Strasbourg,2973783
Sydney,2147714
Syracuse,5140405
Taipei,1668341
Tallinn,588409
Tampa,4174757
Tbilisi,611717
Tel Aviv,293397
The Hague,2747373
Thessaloniki,734077
Tirana,3183875
Tokyo,1850147
Toledo,5174035
Toronto,6167865
Tunis,2464470
Valencia,2509954
Valletta,2562305
Vancouver,6173331
Varna,726050
Venice,3164603
Vienna,2761369
Vilnius,593116
Vladivostok,2013348
Warsaw,756135
Washington,4140963
Wellington,2179537
Westpoort,11525047
Winnipeg,6183235
Zagreb,3186886
Zhangjiakou,2033196
Zurich,2657896
